mlgId,C3.1,C3.2,AT4.1,AT4.2,OO9C.1,OO9C.2,C5.1,C5.2,C4.1,C4.2,C8.1,C8.2,O91.1,O91.2,SCAAT3.1,SCAAT3.2,YLR.1,YLR.2,C11.1,C11.2,SCY.1,SCY.2
EC-1,109,109,277,277,399,399,120,120,259,259,130,130,254,254,380,380,117,117,187,187,279,279
EC-10,121,124,291,293,446,452,120,164,250,259,139,146,259,292,400,400,126,126,193,193,288,291
EC-2,109,109,277,277,399,399,120,130,259,259,130,130,254,254,380,380,117,117,187,187,279,279
EC-4,109,109,277,277,393,393,120,130,253,253,130,130,254,254,380,380,123,123,218,218,279,279
EC-5,109,109,277,277,393,393,120,130,253,253,130,130,254,254,380,380,123,123,218,218,279,279
EC-6,121,121,293,293,452,452,120,146,250,250,146,146,292,292,400,400,126,126,193,193,291,291
EC-7,121,121,293,293,452,452,120,120,250,250,146,146,292,292,400,400,126,126,193,193,291,291
EC-8,121,121,293,293,452,452,120,120,250,250,146,146,292,292,400,400,126,126,193,193,291,291
EC-9,121,124,291,293,446,452,120,164,250,259,139,146,259,292,400,400,126,126,193,193,288,291
L2226-H10,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H11,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H12,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H13,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H14,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H15,115,121,289,289,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H16,115,121,289,291,446,449,161,161,250,250,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H17,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H18,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H19,115,121,289,291,446,449,164,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H2,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H20,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H21,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H22,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H23,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H24,115,121,291,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H3,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H4,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H5,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H6,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,198,386,386
L2226-H7,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-H8,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P10,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P11,121,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P12,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P13,115,121,289,291,446,449,161,174,250,268,143,153,253,271,403,403,126,126,198,214,386,386
L2226-P14,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P15,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P16,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P18,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P19,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P2,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P20,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P21,115,121,289,289,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P22,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P23,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P24,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P25,115,121,289,291,446,449,161,174,250,268,143,153,253,253,385,403,126,126,198,214,386,386
L2226-P26,115,121,289,291,446,449,164,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P27,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P28,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P29,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P3,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P30,115,121,289,291,446,449,161,176,250,268,143,153,271,271,385,403,126,126,198,214,386,386
L2226-P31,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P32,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P34,121,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P35,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P36,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P4,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P5,115,121,289,291,446,449,161,174,250,268,143,153,253,271,403,403,126,126,198,214,386,386
L2226-P6,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P7,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P8,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P9,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP1,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP11,121,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP12,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP14,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP15,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP16,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP2,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP21,115,121,289,289,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP22,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP23,115,115,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP24,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP25,115,121,289,291,446,449,161,174,250,268,143,153,253,253,385,403,126,126,198,214,386,386
L2226-SCP26,115,121,289,291,446,449,164,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP3,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP4,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP5,115,121,289,291,446,449,161,174,250,268,143,153,253,271,403,403,126,126,198,214,386,386
L2226-SCP6,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP7,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP8,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP9,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
